segment_name,satisfied,late_delivery
Big-Ticket Buyers,0.0,1.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,1.0
Big-Ticket Buyers,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,1.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,1.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,1.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,1.0
Hibernating,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,1.0
Big-Ticket Buyers,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,1.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,1.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,1.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,0.0,1.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,1.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,1.0
Hibernating,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,0.0,1.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,1.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,0.0,0.0
Hibernating,0.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,1.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,1.0
Hibernating,1.0,0.0
Hibernating,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Loyal Champions,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Loyal Champions,1.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,1.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,1.0
Big-Ticket Buyers,1.0,0.0
Hibernating,0.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,0.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,1.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,0.0,1.0
Hibernating,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,1.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,1.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,1.0
Hibernating,1.0,0.0
Hibernating,0.0,1.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,1.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,1.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,1.0
Hibernating,1.0,1.0
Big-Ticket Buyers,0.0,1.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,0.0,0.0
Loyal Champions,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Loyal Champions,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,1.0
Big-Ticket Buyers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Loyal Champions,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,0.0,1.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,0.0,0.0
Loyal Champions,1.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,0.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
Hibernating,1.0,0.0
Hibernating,1.0,0.0
Recent Browsers,1.0,0.0
Big-Ticket Buyers,0.0,0.0
Recent Browsers,0.0,0.0
Recent Browsers,1.0,0.0
Recent Browsers,1.0,0.0
